topic,rank,doc
239,1,"Hey, world! Did you know that a literal CHEMICAL WEAPON was used in #Mariupol today?? Russia used chemical weapon against Ukrainians, civilians included. Are you still deeply concerned?"
239,2,"a literal CHEMICAL WEAPON was used in #Mariupol today?? Russia used chemical weapon against Ukrainians, civilians included. Are you still deeply concerned?"
239,3,"CHEMICAL WEAPON was used in #Mariupol today?? Russia used chemical weapon against Ukrainians, civilians included. Are you still deeply concerned?"
240,1,Sitting US president tells the UN in 2018: “#Germany will become totally dependent on Russian energy if it does not immediately change course.” German delegation at speech openly laughed at him. Oops. No laughing in late 2022.
240,2,Remember when President Trump’s UN speech where he said #Germany 🇩🇪 would become totally dependent on #Russian 🛢 oil and the German delegation laughed at him? Who’s laughing 😆 now? #UkraineRussianWar #BidensWar #BidenGasCrisis
240,3,"that time german diplomats laughing at Trump's speech at the UN when he said, ""#Germany will be totally dependent on #Russian energy if it doesn't change course"" Are they still laughing ? German delegation at UN appears to laugh at Trump via"
241,1,#UNGA #doublestandards #Rwanda #Russia #Ukraine #Kagame #RwandaIskilling #KagameIskilling in #RDC #DRC and Every where. #Tanzania #Burundi #Kenya #Uganda #SouthSudan #EAC #StopRwanda
241,2,#Rwanda #Kagame #Africa #France #Belgique #Canada #Suisse #Holland #Norway #Sweden #Tanzania #SouthAfrica #Zimbabwe #Kenya #EAC #UK #Denmark #RwandaIskilling #KagameIskilling in #RDC #DRC #UN Experts Point to Rwandan Role in East DR Congo Rebel Crisis
241,3,#Rwanda #Kagame #Africa #Afrique #France #Belgique #Canada #Suisse #Holland #Norway #Sweden #EAC #UK #Europe #Denmark #RwandaIskilling #KagameIskilling in #RDC #DRC &amp; Everywhere #UN experts point to Rwandan role in east DR Congo rebel crisis via
242,1,"To the #UN from #Idlib, #Syria with love and respect. Please dismantle your organization because it is not only a big failure, it is also an accomplice of both #Assad and #Putin. Shame on the #UN, Not a word today when #Putin used #clustermunition against #Syrian children"
242,2,"To the #UN from #Idlib, #Syria with love. Please dismantle your organization because it is not only a big failure, it is also an accomplice of both #Assad and #Putin. Shame on the #UN, not a word today when #Putin used #clustermunition against #Syrian children."
242,3,"As Syrian, I believe it 100%. The #UN is an accomplice with #Assad and #Putin in #Syria. I can write a Ph.D dissertation about what #Syrians have found out. The #UN is criminal."
243,1,"#TheHappeningDaysOfTheLord #WorldWar3Europe 2023 Launching, ""The End Result"" is now #Dreadful &amp; #Terrible now. Revenge nownow #America #Belgium #Canada #Dutch #England #France #Germany #Holland #Israel #Japan #Italy #Ireland #Rome #Switzerland #Spain #Scotland #Ukraine"
243,2,"#TheHappeningDaysOfTheLord #WorldWar3Europe 2023 Launching ""The End Result"" is now #Dreadful &amp; #Terrible. Revenge.! #America #Belgium #Canada #Dutch #England #France #Germany #Holland #Israel #Japan #Italy #Ireland #Rome #Switzerland #Spain #Scotland #Ukraine"
243,3,"#TheHappeningDaysOfTheLord #WorldWar3Europe 2023 Launching, ""The End Result"" is now #Dreadful &amp; #Terrible now. #Judgement now #America #Belgium #Canada #Dutch #England #France #Germany #Holland #Israel #Japan #Italy #Ireland #Rome #Switzerland #Spain #Scotland #Ukraine"
244,1,"#Hollywood actor and #UN Goodwill Ambassador Ben Stiller arrived in #Makariv, #Kyiv region On the eve of the visit, he was in #Lviv, and also came on a humanitarian mission to #Poland, where he met with #Ukrainian refugees. #Ukraine #UkraineRussiaWar #UkraineWar #ruSSia"
244,2,"Hollywood actor and #UN Goodwill Ambassador Ben Stiller arrives in #Makariv, #Kyiv Region Credits: Suspilne #benstiller #StandWithUkraine"
244,3,Zelenskyy meets Hollywood actor and UNHCR Goodwill Ambassador Ben Stiller #Zelenskyy #UNHCR #benstiller #RussiaUkraineWar
245,1,*stolen grain. They steal grain from Ukraine and deliver them to poor countries. How more hypocrite can you get? #russiaisaterroriststate
245,2,Russian grain is stolen grain. Who knows who they will steal from next? #RussiaIsLosing
245,3,Stolen grain from #Ukraine?
246,1,#Russia blocks adoption at #UN of #nuclear disarmament text — Naharnet
246,2,#Russia blocks nuclear treaty agreement over #Ukraine reference. ▪️Russia has blocked the adoption of a joint declaration by a United Nations conference on nuclear disarmament. -BBC-
246,3,"#Russia blocks final draft of nuclear disarmament treaty at 🇷🇺 has blocked the adoption of a joint declaration on the United Nations’ nuclear disarmament treaty, which criticised #Moscow’s military takeover of #Zaporizhzhia nuclear plant in #Ukraine."
247,1,#TRUMP NO MAIL N BALLOTS_YOU MUST FILE AN #ABSENTEE IF REPUBLICANS EXSPECT TO WIN_AMERICA SHOULD HAVE #VOTER INTEGRITY_GUN DRUGS STOLEN BALLOTS_FOUND IN CRIMINALS CAR #RNC HAVE SOME BACKBONE FOR CALIFORNIA_GOOD PRINCIPALS THATS WHO WE ARE #GREG #GUTFELD AMERICAS NEW SUPERSTAR* Sx
247,2,#TRUMP NO MAIL N BALLOTS_YOU MUST FILE AN #ABSENTEE IF REPUBLICANS EXSPECT TO WIN_AMERICA SHOULD HAVE #VOTER INTEGRITY_GUN DRUGS STOLEN BALLOTS_FOUND IN CRIMINALS CAR #RNC HAVE SOME BACKBONE FOR CALIFORNIA_GOOD PRINCIPALS THATS WHO WE ARE #GREG #GUTFELD AMERICAS NEW SUPERSTAR* _
247,3,#TRUMP NO MAIL N BALLOTS_YOU MUST FILE AN #ABSENTEE IF REPUBLICANS EXSPECT TO WIN_AMERICA SHOULD HAVE #VOTER INTEGRITY_GUN DRUGS STOLEN BALLOTS_FOUND IN CRIMINALS CAR #RNC HAVE SOME BACKBONE FOR CALIFORNIA_GOOD PRINCIPALS THATS WHO WE ARE #GREG #GUTFELD AMERICAS NEW SUPERSTAR* 7h
248,1,"Where’s the investigation? Or do we only investigate russian POWs fake surrenders? How are your security guarantees for russia , maybe wil stage another bot poll? #RussianWarCrimes (c)"
248,2,"Where’s the investigation? Or do we only investigate russian POWs fake surrenders? How are your security guarantees for russia , maybe wil stage another bot poll? #RussianWarCrimes"
248,3,Illegal war crimes #RussiaIsATerroristState
249,1,"Ukraine-Russia Peace: - Redo elections of annexed regions under UN supervision. Russia leaves if that is the will of the people. - Crimea is formally part of Russia, as it has been since 1783 (until Khrushchev’s mistake). #Ukraine #Svatove #Dollar #Quetta #Russia"
249,2,#Russia should return #Crimea to #Ukraine. Crimea belongs to #Ukrainians!
249,3,"#ElonMusk is mistaken, ignorant, to say #Crimea belongs to Russia. 1) #Ukraine including Crimea was a Soviet Republic from 1953; 2) Since 1993 when the USSR dissolved, Ukraine including Crimea has been a sovereign nation member of United Nations. #Musk played by Putin!"
250,1,Close the sky over #Ukraine. Or you also want us to be killed? Close the sky over #Ukraine. Or you also want us to be
250,2,Close the sky over #Ukraine. Or you also want us to be killed?! CLOSE THE SKY OVER UKRAINE!
250,3,Close the sky over #Ukraine. Or you also want us to be killed?! Close the sky over #Ukraine. Or you also want us to be killed?!
251,1,#Iran #Presstv #Palestine #US #UN #EU #UK #FRANCE #Israel with it's 6.5mil #Jews is a Miracle Created by the Almighty #God and VERIFIED by #UN in 1948 Surrounded and Besieged by 1.6 Billion #Jew Haters wanting to replace in with 58th #Muslim State but Allah will not allow it
251,2,"#Iran #Presstv #Hamas #HEZBOLLAH #US #UN #EU #UK #FRANCE #GERMANY #CANADA YES, THATS WHAT YOU GET FOR FIRING MISSILES AT TINY #ISRAEL EVERY TIME #Palestine #Terrorists ATTACK THE #JEWISH STATE YOU WILL GET RETALIATORY ATTACK"
251,3,#Iran #Presstv #Terrorist #Hamas #Palestine #HEZBOLLAH #UN #US #UK #EU #FRANCE #GERMANY #Canada #Austria #UAE #Bahrain Defend Tiny #Jewish #Israel of 6.5million #Jews from onslaught of 1.7 billion #Jew Haters wanting to destroy it And replace it with 58th #Muslim country
252,1,Russian journalist Dmitry Muratov auctions off his Nobel Peace Prize medal. The proceeds will go directly to UNICEF in its efforts to help children displaced by the war in Ukraine #dmitrymuratov #RussiaUkraineWar
252,2,"Nobel peace prize auctioned by Russian journalist Dmitry Muratov fetches record $103.5m - Muratov, who was awarded the gold medal in October 2021, said proceeds would go to Unicef to help children displaced by Ukraine war | #news"
252,3,"(The Guardian):#Nobel peace prize auctioned by #Russian journalist Dmitry Muratov fetches record $103.5m : Muratov, who was awarded the gold medal in October 2021, said proceeds would go to Unicef to help children displaced by .."
253,1,UN: No Evidence on Genocide in #Ukraine
253,2,"""The legal report, signed by more than 30 leading legal scholars and genocide experts, accuses the Russian state of violating several articles of the United Nations Genocide Convention"" #GenocideOfUkrainians #ArmUkraineNow"
253,3,"2. The legal report, signed by more than 30 leading legal scholars and genocide experts, accuses the Russian state of violating several articles of the United Nations Genocide Convention. #Ukraine️ #Genocide"
254,1,"😢 Over 50 landmark #Ukraine sites damaged in #Russian invasion — The #UN's cultural agency on Friday said it had confirmed that at least 53 #Ukrainian historical sites, religious buildings and museums had sustained damage during #Russia's invasion of the country."
254,2,"😢 Over 50 landmark Ukraine sites damaged in Russian invasion — UNESCO The UN's cultural agency on Friday said it had confirmed that at least 53 Ukrainian historical sites, religious buildings and museums had sustained damage during Russia's invasion of the country. #Ukraine"
254,3,"Before-and-after satellite imagery will track #Ukraine cultural damage -- #UN The project has already found damage at 200 sites and will assess the impact of #Russia’s invasion on architecture, art, historic buildings and other cultural heritage"
255,1,Russia suspends its participation in UN-brokered grain export deal with Ukraine #Russia #Ukraine
255,2,#Russia suspends its participation in #UN-brokered grain export deal with #Ukraine
255,3,#Russia suspends its participation in UN-brokered grain export deal with Ukraine
256,1,War isn't a solution its right but how long will it take to address genocidal dictators like Museveni in #Uganda #Uganda who is carrying out a silent genocide in #Uganda and the region of East #Africa? Do we matter like the #Ukrainian people?! #Kunga #Uganda #Congo
256,2,"ran to #Uganda as a #Refugee where he was raised with hospitality.However,to date he is planning a #genocide in Uganda with &amp; that is why he sent a backup Army of Rwandees to Uganda #KUNGA #ENDM7Dictatorship"
256,3,"As people of #Uganda apart from dictator Museveni in #Uganda, we support the people of #Ukraine because we are very thirsty for democracy and protecting human rights of all citizens of #Uganda and the region. But we have been disappointed by 40yrs of Museveni's support. #Kunga"
257,1,"The #Russian Aggression on #Ukraine war crimes: The UN human rights office said on Friday it has received ""credible reports"" of several cases of Russian forces using cluster munitions in populated areas in Ukraine"
257,2,"#UN : UN Human Rights office has received credible reports of #Russian forces using cluster munitions, including in populated areas."
257,3,"The UN has evidence of Russian use of cluster munitions. The use of cluster munitions in populated areas is incompatible with the principles of international humanitarian law, governing the conduct of hostilities. #UkraineWar #UkraineUnderAttack"
258,1,#RT : RT : 🔴 BREAKING The Human Rights Council has decided to urgently establish an independent international commission of inquiry as a result of #Russia's aggression against #Ukraine. ✅ YES: 32 ❌ NO: 2 ➖ ABSTENTIONS: 13
258,2,UN: RT : 🔴 BREAKING The Human Rights Council has decided to urgently establish an independent international commission of inquiry as a result of #Russia's aggression against #Ukraine. ✅ YES: 32 ❌ NO: 2 ➖ ABSTENTIONS: 13
258,3,RT: 🔴 BREAKING The Human Rights Council has decided to urgently establish an independent international commission of inquiry as a result of #Russia's aggression against #Ukraine. ✅ YES: 32 ❌ NO: 2 ➖ ABSTENTIONS: 13 — UN Human Rights Council 📍 #…
259,1,"Urgent steps are needed to prevent a #measles outbreak in #Ukraine. Due to the ongoing war &amp; low vaccination rates, it'll be hard to reach the -recommended vaccine coverage of 95% or more each year to protect children from this infectious disease."
259,2,"To protect children &amp; prevent disease outbreaks, every child who missed vaccination must be provided with easy access to catch-up on needed doses. is supporting the to offer #measles vaccines to internally displaced people in 10 oblasts across #Ukraine"
259,3,"Due to low routine vaccination rates, #polio returned to #Ukraine in 2021. The war has exacerbated the risk of polio spreading. UNICEF and have made it a priority to vaccinate and protect all children from poliovirus and eradicate the disease in Ukraine and beyond."
260,1,"#UncleSam Yo #PowerPuffGirl, is there a reason, why there have been no terror alerts or attacks in the recent years? now know…The most #powerful #BitchMode!#USA #Russia #EU #Congress #POTUS #Canada #UN #China #Beijing #Moscow #UnitedNations #XiJinping #Biden #Putin #UnitedStates"
260,2,"#UncleSam you #hoemaker #slutbreaker #trampshaker #Homosexualitypromoter…do they call you dr. Joe,#LGBTQ lovin joe-smo!#USA #StillStanding #ComeGetSome #Russia #EU #Congress #POTUS #Canada #UN #China #Beijing #Moscow #UnitedNations #XiJinping #Biden #Putin #UnitedStates #America"
260,3,"#UncleSam when you nut in one, spread your roots in others #blackplague to #bubanicplague #USA #Persuasion #StillStanding #ComeGetSome #Russia #EU #Congress #POTUS #Canada #UN #China #Beijing #Moscow #UnitedNations #XiJinping #Biden #Putin #UnitedStates #America"
261,1,#Russia has informed #UN its buses are ready at crossing points to go to eastern Ukrainian cities of #Kharkiv &amp; #Sumy to evacuate Indian students &amp; other foreign nationals #RussiaUkraineWar #UkraineCrisis
261,2,#Russia has informed #UN its buses are ready at crossing points to go to eastern Ukrainian cities of #Kharkiv &amp; #Sumy to evacuate Indian students &amp; other foreign nationals
261,3,"Glad to see the next batch of #Indian students from #ukraine coming back safely ""Ready To Evacuate Indian Students From Ukraine"": Russia To UN via #OperationGanga at work"
262,1,"Mexican President Andres Manuel Lopez Obrador on Monday said his government would present a plan to the United Nations to end the Ukrainian-Russian conflict, moments after criticizing the world body and calling for it to be reformed. #AMLO #Mexico #Russia #Ukraine #CGTNAmerica"
262,2,"Mexican President Andres Manuel Lopez Obrador on Monday said his government would present a plan to the United Nations to end the Ukrainian-Russian conflict, moments after criticizing the world body and calling for it to be reformed. #AMLO #Mexico #Russia #Ukraine"
262,3,"#Mexico on Friday proposed at the #UNO that a committee be set up to broker peace between #Russia and #Ukraine. Mexico has said that the committee should have #PMModi, #PopeFrancis, and UN Secretary-General #AntonioGuterres to mediate permanent peace between Russia and Ukraine."
263,1,"🇮🇳#INDIA #US #EU #UN #News 07/02/2022 #Indian #Police arrest '#Masterminds' of #decapitation by 2 #Muslims filmed-posted of #Hindu tailor #LalTeli,on derogatory remarks #Prophet #Mohammad Anti-#terrorism #NIA investigate 4 #Muslim #IslamicState links"
263,2,We are indian race people we didn't discriminate Hindu Muslim etc in indian country🇮🇳 Why these missionary discriminate indian descent Sc St Obc #ELONMUSK #ELONMUSK
263,3,We are indian race people we didn't discriminate Hindu Muslim etc in indian country🇮🇳 Why these missionary discriminate indian descent Sc St Obc #ELONMUSK
264,1,Just STOP shelling. #UN #UkraineRussiaWar #UNHCR
264,2,🇺🇦😎 Ukraine's representative to the UN Serhiy Kyslytsia is all fancy and ready to further defend the country in the international arena. #StandUpForUkraine #Ukraine
264,3,🇺🇦😎 Ukraine's representative to the UN Serhiy Kyslytsia is all fancy and ready to further defend the country in the international arena. #Ukraine #EU #European #US #CINA #INDIA
265,1,"Update - has now delivered emergency food assistance to 700,000 people inside #ukraine"
265,2,"#RT : RT : #NEWS: We have just completed the 1st food distribution since the #Ukraine war started to the previously besieged city of Chernihiv. 12,000 people have received life-saving assistance. Thank you to our partner …"
265,3,"UN: RT : #NEWS: We have just completed the 1st food distribution since the #Ukraine war started to the previously besieged city of Chernihiv. 12,000 people have received life-saving assistance. Thank you to our partner for …"
266,1,"#Erdogan invited #Putin to hold a meeting in #Istanbul between delegations of Russia, Ukraine &amp; Putin &amp; Erdogan held a telephone conversation during which they discussed the situation in Ukraine - Office of the President of Turkey #Russia #Ukraine"
266,2,"#Turkish President #Erdogan invited Putin to hold a meeting in Istanbul between the delegations of Russia, #Ukraine and the UN."
266,3,"Turkish President #Erdogan invited Putin to hold a meeting in Istanbul between the delegations of #Russia, #Ukraine and the UN"
267,1,"Save your future, #Europe. #StopPutin or you will be next! ! -------"
267,2,"Save your future, #Europe. #StopPutin or you will be next! ! ********"
267,3,"Save your future, #Europe. #StopPutin or you will be next! .!!!!!!"
268,1,"Diplomat at Russia’s mission to United Nations in Geneva resigns over the war #Ukraine, writing he has never been “so ashamed” of his country, in rare public rebuke of war from within Russian government, rpts:"
268,2,"#Ukraine️ A diplomat at Russia’s mission to the United Nations in Geneva has resigned over the war in Ukraine, writing that he has never been “so ashamed” of his country, in a rare public rebuke of the war from within the Russian government."
268,3,"A diplomat at #Russia’s mission to the United Nations in Geneva has resigned over the war in #Ukraine, writing that he has never been “so ashamed” of his country, in a rare public rebuke of the war from within the Russian government v"
269,1,🔴 #Маріуполь #Київ #Львів #харків #UKRAINE #Україна #CloseTheSky #NoFlyZone #NUCLEAR #TERRORISM #WAR #EU #NATO #US #AMERICA #ICJ ⚜️ WAR IN UKRAINE ⚜️ THE UKRAINIAN SOLDIERS HAS TO FOLLOW THE INTERNATIONAL LAW ON PROTECTING ENEMIES WHO SURRENDERED
269,2,🔴 #Маріуполь #Київ #Львів #харків #UKRAINE #Україна #StopRussia #NoFlyZone #NUCLEAR #TERRORISM #WAR #EU #NATO #US #AMERICA #ICJ ⚜️ WAR IN UKRAINE ⚜️ VLADIMIR PUTIN IS NOT THE ONE WHO WILL STOP THE WAR IT'S YOU YOU HAVE NO CHOICE GO GET PUTIN
269,3,"🔥 🔥 #Маріуполь #Київ #Львів #харків #UKRAINE #Україна #StopRussia #BRAVEUKRAINE #NUCLEAR #TERRORISM #EU #NATO #US #BIDEN #ICJ #WAR 🔥🔥🔥 WAR IN UKRAINE 🔥🔥🔥 IS THERE ANYONE OUT THERE WHO CAN PROVIDE "" M61 VULCANS "" TO THE UKRAINIAN MILITARY❔"
270,1,"CHRISTMAS of LIBERATION /2 ""Finally awakening to Majai"" ""Leaving Babel of absurdity and war"" #Peace #Ukraine #Russia #UkraineWar #Iranian #peace1212 #UkraineWarNews #Nature #COP27 #UNICEF #UkraineUnderAttack #christmas2022 #Jesus #XMAS2022"
270,2,"CHRISTMAS of LIGHT ""Ending the Age of Darkness"" ""Ending the primitive madness of war"" #Peace #Ukraine #Russia #UkraineWar #Iranian #peace1212 #UkraineWarNews #Nature #COP27 #UNICEF #UkraineUnderAttack #christmas2022 #Jesus #XMAS2022"
270,3,"CHRISTMAS of LIBERATION ""Ending the Age of Darkness"" ""Ending the primitive madness of war"" #Peace #Ukraine #Russia #UkraineWar #Iranian #peace1212 #UkraineWarNews #Nature #COP27 #UNICEF #UkraineUnderAttack #christmas2022 #Jesus #XMAS2022"
271,1,#UN chief calls for ceasefire in #Ukraine for humanitarian assistance
271,2,UN chief in #Moscow says wants #Ukraine ceasefire 'as soon as possible'
271,3,Can we get a #ceasefire in #Ukraine ?
272,1,"Hello #UN, please help #taiwan before it becomes next Ukraine. #china is trying to invade #taiwan #roc and #world is just watching. Shame on all the powerful #worldleaders. #un #india #eu #nato #russia #usa #china #africa #France"
272,2,"Save this tweet, and will never condemn when China will invade Taiwan. #Taiwan #Russia and China #Russia's Ukraine"
272,3,Will #Taiwan be the next #Ukraine ? #whatsayyou #UN #USA #China
273,1,"#RussiaUkraineWar | ""Profound Concern"": India ""Strongly"" Calls For End To Ukraine War At UN NDTV's Maha Siddiqui reports"
273,2,"""Profound Concern"": India ""Strongly"" Calls For End To #UkraineRussiaWar At UN NDTV's Parmeshwar Bawa reports"
273,3,"#RussiaUkraineWar ""Profound Concern"": India ""Strongly"" Calls For End To Ukraine War At UN"
274,1,Who would think that Orlando Bloom is supporting #Ukraine ?
274,2,Ukrainian President Volodymyr Zelenskyy met with actor Orlando Bloom in Kyiv. Bloom came to #Ukraine as a UNICEF Goodwill Ambassador.
274,3,. Goodwill Ambassador Orlando Bloom visits #Ukraine.
275,1,PLEASE STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia
275,2,"please, STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia"
275,3,PLEASE PLEASE STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia
276,1,"""The fate of people with #disabilities in #Ukraine is largely unknown,"" notes the UN Committee on the Rights of Persons with Disabilities. ""The continued military attacks leave people with disabilities extremely vulnerable and at grave risk of harm."" 👇🏾"
276,2,"In a special report, , Vice-Chair of UN Committee on the Rights of Persons with Disabilities, said he was “gravely concerned” about the situation of people with disabilities in #Ukraine after the Russian invasion."
276,3,The UN Committee of Rights of Persons with Disabilities has said in a press release that the lives of around 2.7 million people with disabilities are at risk in #Ukraine. 's Samantha Smith has the details:
277,1,#RUSSIANWARCRIMES #PUTINISAWARCRIMINAL #GENOCIDE PUTIN BELONGS IN THE HAGUE NOT IN THE UN SECURITY COUNCIL
277,2,#RUSSIANWARCRIMES #PUTINISAWARCRIMINAL #GENOCIDE PUTIN BELONGS IN THE HAGUE NOT THE UN SECURITY COUNCIL.
277,3,#RUSSIANWARCRIMES #PUTINISAWARCRIMINAL #GENOCIDE PUTIN BELONGS IN THE HAGUE NOT IN THE UN SECURITY COUNCIL.
278,1,WHO IS THIS ✡️Gasoline Maxwell by the way? #ApartheidIsrael Puppet of #Ukraine #CIA/#ISIS/#NATO #Poland #Palestine #صباح_الخیر #فلسطین #ایران #یمن #لبنان #سوریه #عراق #Iran #Russia #Syria #China
278,2,WHO ARE THESE ISRAELI AGENTS acting under #German flag with FAKE #German names? #ApartheidIsrael Puppet of #Ukraine #CIA/#ISIS/#NATO #Poland #Palestine #صباح_الخیر #فلسطین #ایران #یمن #لبنان #سوریه #عراق #Iran #Russia #Syria #China
278,3,YOU WILL SEE WHO IS THE FOOL OF THIS GAME #ApartheidIsrael Puppet of #Ukraine #CIA/#ISIS/#NATO #Poland #Palestine #صباح_الخیر #فلسطین #ایران #یمن #لبنان #سوریه #عراق #Iran #Russia #Syria #China
279,1,"#NeverForget! reports sexual violence in #Tigray has reached ""levels of cruelty that are impossible to understand,"" with women &amp; girls being raped daily amid the genocidal war on #Tigray. #WeaponizedRape!"
279,2,"#NeverForget reports sexual violence in #Tigray has reached ""levels of cruelty that are impossible to understand,"" with women &amp; girls being raped daily amid the genocidal war on #Tigray #WeaponizedRape!"
279,3,"#NeverForget! ' reports sexual violence in #Tigray has reached ""levels of cruelty that are impossible to understand, with women &amp; girls being raped daily amid the genocidal war on #Tigray. #WeaponizedRape!"
280,1,"The US, UN, EU, and AU must put pressure on to immediately and unconditionally end his #military aggression on Oromia. #StopWarInOromia #OromoVoice"
280,2,"The US, UN, EU, and AU must put #pressure on to immediately and unconditionally end his #military aggression on Oromia. #StopWarInOromia #OromoVoice"
280,3,"Amhara elites hate Oromos/Oromia: 'For z sake of Ethiopia, Oromia sd be divided into 2 or 3 based on religion/region,' from Vision Ethiopia's Conference call. #UN #EndWarOnOromia"
281,1,"#Poland #Ukraine️ #Eurovision The host of Poland vote at the Eurovision Song Contest shouted ""Slava Ukraine!"" at the end of her political speech... THAT ""SLAVA UKRAINE"" IS RESPONSIBLE FOR 200 000 POLISH VICTIMS WHO DIED FROM NAZISM..."
281,2,#Eurovision #SaveAzovstalDefenders This is sick. Let’s get these men out.
281,3,WHO IS RESPONSIBLE FOR THIS #Eurovision
282,1,3 things to know about Blue Dots What are Blue Dot hubs? ⬇️ #Ukraine #Russia #UkraineRefugees
282,2,"#DYK? Nearly 90% of #refugees from #Ukraine are women and children. and have rolled out Blue Dot safe spaces for them in 🇵🇱, 🇲🇩 and 🇷🇴. More Blue Dots are on their way in 🇨🇿, 🇭🇺 and 🇸🇰."
282,3,"Are you in Europe and fleeing the war in #Ukraine? You can find refuge, relief, useful info or simply someone to talk to at Blue Dot safe spaces. Find one of the Blue Dot Hubs established by and UNHCR near you using"
283,1,No risk of war in Moldova while Ukraine holds out - President Sandu - #Moldova #Ukraine #Russia #Iran #Belarus #war #NATO #EU #UK #US #UN #Diplomacy #Politics #sanctions #humanity #Defense #RegionalSecurity #Coalition #StandWithUkraine
283,2,You see! Moldova is next! #NATO #Moldova #MoldovaRussiaWar
283,3,"About time Moldova settled the issue of Transnistria once and for all. Maybe the UN should have this vote again. Back in 2018, only 64 countries voted for Russian troops to leave Moldova, based in Transnistria. #Transnistria #Moldova #NATO #UkraineRussiaWar #Ukraine️"
284,1,"The #UNO called the mass burial in #Izium shocking. The UN High Commissioner for #HumanRights' office said it wanted to send a team to Izium to check the sight of mass burial, in which over 400 graves have been found after the deoccupation of the town. #RussiaIsANaziState #war"
284,2,#BREAKING #UN wants to send a team to probe mass grave in Ukraine's #Izyum #FP #Ukraine #Russia #Donbass
284,3,#BREAKING UN wants to send team to probe mass grave in Ukraine's #Izyum. #UkraineWar
285,1,Ukraine civilian death toll much higher than recorded number: UN ##war_footage ##Ukrainewillwin ##Ukraine ##putin ##UkraineRussianWar ##russia '
285,2,Ukraine civilian death toll much higher than recorded number: UN ##ukraine ##russia ##war ##stop_war
285,3,Ukraine civilian death toll much higher than recorded number: UN ##RussianWarCrimes ##ukraine ##UK # ##russia ##UkraineRussianWar '
286,1,"#China &amp; #Russia are contributing biggest disaster in today’s World, making full of uncertainties &amp; factors of instability, don’t justify these evils state. Declare both Countries #StateTerrorism #FreeTibet #FreeTaiwan #FreeHK #FreeET #XiJinping #TibetWillBeFree #US #India #UN"
286,2,"#NoWonder #China &amp; #Russia contributing biggest disaster in today’s World,now we can see clear picture from #RussiaInvasion #FreeTibet #FreeHK #FreeET #FreeUkraine #FreeCrimea #Putin #Kremlin #XiJinping #CCP #HoldChinaAccountable #India #AUS #Ukraine #UN #US #EU #UK #TwoSessions"
286,3,"#China &amp; #Russia are contributing biggest disaster in today’s World, making full of uncertainties &amp; factors of instability, be human now &amp; Declare both Countries #StateTerrorism #FreeTibet #FreeTaiwan #FreeHK #FreeET #FreeUkraine #XiJinping #TibetWillBeFree #EU #US #India #UN"
287,1,Stop killing our children! Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia ❗❕❗❗❗❕❕❕❕❗❕
287,2,Stop killing our children! Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia ❕❕❗❗❗❕❗❗❕
287,3,Stop killing our children! Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia‼️
288,1,"@#humanitycomesfirst As the world focuses on #Ukraine, we urge #AusGov &amp; UN members to not forget Tigray, a region cut off from the world. Very little aid has entered the region, #AusGov can do more! #TigrayCantWait #AusPol #AusGovActNow"
288,2,"#humanitycomesfirst As the world focuses on #Ukraine, we urge #AusGov &amp; UN members to not forget #Tigray, a region cut off from the world. Very little aid has entered the region, #AusGov can do more! #TigrayCantWait #AusPol #AusGovActNow"
288,3,"#humanitycomesfirst As the world focuses on #Ukraine,we urge #AusGov &amp; UN members to not forget Tigray,a region cut off from the world.Very little aid has entered the region, #AusGov can do more! #TigrayCantWait #AusPol #AusGovActNow"
289,1,"Poland likely to invoke NATO's Article 4, will raise missile blast with UN - officials #Poland #NATO #Article4 #Missile #UN"
289,2,"#Poland likely to invoke #NATO's Article 4, will raise missile blast with #UN"
289,3,"#Poland likely to invoke #NATO's Article 4, will raise missile blast with #UN - officials #Russia-Poland."
290,1,"""We are now seeing an increase in cases of #COVID19 in #Ukraine. We project that transmission could peak in early October and hospitals could approach their capacity threshold,"" Ghebreyesus told WHO'S Regional Committee for #Europe conference in Tel Aviv."
290,2,"""We are now seeing an increase in cases of #COVID19 in #Ukraine. We project that transmission could peak in early October and hospitals could approach their capacity threshold,"" Ghebreyesus told #WHO'S Regional Committee for Europe conference in Tel Aviv."
290,3,"Media briefing on #Ukraine, #COVID19 and other global health issues | ⁦ ⁩"
291,1,"SG must #stopUNinvasionOfHaiti &amp; focus on peaceful resolution of #Ukraine's proxy war to avert #NuclearAnnihilation rather than peddle outrageous lies on the #TPLF-ignited conflict in #Ethiopia, where the terrorist TPLF is on the verge of defeat. #DisarmTPLF"
